Faculty of Arts & Social Sciences|	AS2 Level 2|	Dily's Creations|	on|	food outlet|on|	9|	Take a left turn at NUS Press and walk to the end of the corridor.|No description.|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg
Faculty of Engineering|	E3 Level 4|	Dily's Creations|	on|	on|food outlet|	9|	Walk towards E3 down the corridor towards Dily's Creations.|No description|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg			
Faculty of Engineering|	E3 Level 4|	Subway|	on|	on|food outlet|	9|	Walk towards E3 down the corridor towards Subway.|Grab a quick bite from this Subway stand. Sells items from the standard Subway menu. |https://3507c89ca9f19ae9f65f17a7ac40c00ffd5d80c7.googledrive.com/host/0BxD_AYUAIOTEQl9zQjMxZmZMajQ/Subway%20-%20Pic1.jpg|https://3507c89ca9f19ae9f65f17a7ac40c00ffd5d80c7.googledrive.com/host/0BxD_AYUAIOTEQl9zQjMxZmZMajQ/Subway%20-%20Pic2.jpg		
science|	Canteen Level 3|	NUS IT Co-op|	on|	N|	bookshop|8|	Take a left turn from the LT28 bus stop and walk towards LT 26.| Sells IT essentials.	|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg								
science|	LT25|	Subway @ LT 25|	on|	on|	food outlet|9|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway.| Grab a quick bite from this Subway stand. Sells items from the standard Subway menu. |https://f7b4aa41b4df26e9356127bedc2e0a7081ba0781.googledrive.com/host/0BxD_AYUAIOTEWktkSEZwOC16cTA/Subway1.jpg|https://f7b4aa41b4df26e9356127bedc2e0a7081ba0781.googledrive.com/host/0BxD_AYUAIOTEWktkSEZwOC16cTA/Subway1.jpg					
science|	LT27 Level 1|	NUS Science Co-op|	N|	N|	bookshop|8|	Take a right turn from the LT28 bus stop and walk along the pathway in the adjacent carpark towards S16.| Get textbooks and stationery from here. |https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg									
science|	S16 Level 1|	Dilys Creation|	on|	N|	food outlet|7|	Take a right turn from the LT28 bus stop and walk along the pathway in the adjacent carpark towards S16.| No description.	|https://784b99bcd0c3cea5f8e4700eaf5a2db8bf75920f.googledrive.com/host/0BxD_AYUAIOTEU0ZVTG1Yell1Z3c/Diyls.jpg|https://784b99bcd0c3cea5f8e4700eaf5a2db8bf75920f.googledrive.com/host/0BxD_AYUAIOTEU0ZVTG1Yell1Z3c/Diyls.jpg								
science|	S16 Level 1|	Platypus Food Bar @ NUS|	on|	N|	food outlet|7|	Take a right turn from the LT28 bus stop and walk along the pathway in the adjacent carpark towards S16.		|No description.|https://70ad0f2e3855390bbcbc6c7229f682662f9614d5.googledrive.com/host/0BxD_AYUAIOTEVGY2Njdhem1kc3M/Platypus1.jpg|https://70ad0f2e3855390bbcbc6c7229f682662f9614d5.googledrive.com/host/0BxD_AYUAIOTEVGY2Njdhem1kc3M/Platypus2.jpg								
medicine|	MD6 Level 1|	Just Acia|	on|	N|	food outlet|10|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway, make a right turn and walk straight down pass Starbucks into YYLSOM.	| Serves fusion dishes|https://f9570d4c562d3672d4aa73b9e2b94cc3e8d2e98d.googledrive.com/host/0BxD_AYUAIOTEQ2hFQU1nZmZKNmc/JustAcia1.jpg|https://f9570d4c562d3672d4aa73b9e2b94cc3e8d2e98d.googledrive.com/host/0BxD_AYUAIOTEQ2hFQU1nZmZKNmc/JustAcia2.jpg									
medicine|	MD11 Level 1|	Starbucks|	on|	N|	food outlet|10|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway, make a right turn and walk straight down to Starbucks.| COFFEE!|https://ab6d75750a44462f106340cdb9431967502e283e.googledrive.com/host/0BxD_AYUAIOTEemZWemYyQVFaOUU/Starbucks1.jpg|https://ab6d75750a44462f106340cdb9431967502e283e.googledrive.com/host/0BxD_AYUAIOTEemZWemYyQVFaOUU/Starbucks2.jpg			
central library| Central Forum| NUS Central Forum Co-op|on|on|bookshop|0|From the bus stop out Central Library, walk towards the open area under Central Library.|Sells textbooks and stationery|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg	|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg	
