central library|	CDTL Level 1|	CDTL Lobby|	N|	on|	N|	on|	on|	N|	on|	4|	0|	0|	0|	Take the overhead bridge from Computer Centre and walk up the stairs leading to CDTL.|https://6b8212b8a8b0a114b285d502df800a700d67a2a2.googledrive.com/host/0BxD_AYUAIOTEVF9GeGw5R2VIbmM/Lobby1.jpg|https://6b8212b8a8b0a114b285d502df800a700d67a2a2.googledrive.com/host/0BxD_AYUAIOTEVF9GeGw5R2VIbmM/Lobby2.jpg|https://6b8212b8a8b0a114b285d502df800a700d67a2a2.googledrive.com/host/0BxD_AYUAIOTEVF9GeGw5R2VIbmM/Lobby3.jpg															
central library|	CDTL LT13 & LT14|	CDTL Walkway|	N|	N|	on|	N|	on|	N|	N|	32|	16|	0|	0|	Take the overhead bridge from Computer Centre.|https://9b2a55e46e7749c59b49ae3f04fdf34d6cf90532.googledrive.com/host/0BxD_AYUAIOTEREZZVjZDMDQxd3M/Walkway1.jpg|https://9b2a55e46e7749c59b49ae3f04fdf34d6cf90532.googledrive.com/host/0BxD_AYUAIOTEREZZVjZDMDQxd3M/Walkway2.jpg|https://9b2a55e46e7749c59b49ae3f04fdf34d6cf90532.googledrive.com/host/0BxD_AYUAIOTEREZZVjZDMDQxd3M/Walkway3.jpg															
arts and social sciences|	AS2 Level 1|	LT11|	N|	on|	on|	N|	on|	on|	N|	4|	2|	4|	0|	Take a left turn at NUS Press and walk to the end of the corridor passing by Dily's Creations and take the stairs.|	https://79511c56a76530fa02240b269212d00c7e435b04.googledrive.com/host/0BxD_AYUAIOTEU21iVWpUN194Q0U/AS2%20L1%20LT11%20-%20Pic1.jpg|https://79511c56a76530fa02240b269212d00c7e435b04.googledrive.com/host/0BxD_AYUAIOTEU21iVWpUN194Q0U/AS2%20L1%20LT11%20-%20Pic2.jpg|https://79511c56a76530fa02240b269212d00c7e435b04.googledrive.com/host/0BxD_AYUAIOTEU21iVWpUN194Q0U/AS2%20L1%20LT11%20-%20Pic3.jpg											
arts and social sciences|	AS2 Level 1|	Under Stairs|	N|	on|	on|	N|	on|	N|	N|	2|	1|	0|	0|	Take a left turn at NUS Press and walk to the end of the corridor passing by Dily's Creations and take the stairs.|	https://a183f91206fdfcf1510fbb20dc2d62094b260964.googledrive.com/host/0BxD_AYUAIOTEVDlBSjlVczFiQTQ/AS2%20L1%20Understairs%20-%20Pic1.jpg|https://a183f91206fdfcf1510fbb20dc2d62094b260964.googledrive.com/host/0BxD_AYUAIOTEVDlBSjlVczFiQTQ/AS2%20L1%20Understairs%20-%20Pic2.jpg|https://a183f91206fdfcf1510fbb20dc2d62094b260964.googledrive.com/host/0BxD_AYUAIOTEVDlBSjlVczFiQTQ/AS2%20L1%20Understairs%20-%20Pic3.jpg												
arts and social sciences|	AS2 Level 2|	LT12|	on|	on|	on|	N|	on|	on|	N|	6|	3|	4|	0|	Take a left turn at NUS Press.|	https://7f87415337e22f2b8c6741aec1a5a70a6acb9eee.googledrive.com/host/0BxD_AYUAIOTEQmpzcy11MU04VGc/AS2%20L2%20LT12%20-%20Pic1.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
engineering|	E3 Level 4|	Corridor along Subway|	on|	on|	on|	N|	on|	on|	N|	38|	19|	13|	0|	Walk towards E3 down the corridor towards Subway.|	https://3ac3bf65b22b8c4083e2387b33d4d920371cc586.googledrive.com/host/0BxD_AYUAIOTEeHFGRlByLUpBdVE/E3%20L4%20Subway%20Corridor%20-%20Pic1.jpg|https://3ac3bf65b22b8c4083e2387b33d4d920371cc586.googledrive.com/host/0BxD_AYUAIOTEeHFGRlByLUpBdVE/E3%20L4%20Subway%20Corridor%20-%20Pic2.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg										
engineering|	E5 Level 1|	From CLB|	N|	N|	on|	N|	on|	on|	N|	20|	10|	14|	0|	Walk down the corridor towards E5 from CLB.|https://a1a7da2474014db52134ef71d32aff131de8a6de.googledrive.com/host/0BxD_AYUAIOTEU0NXNVhDU09qOEk/E5%20-%20Pic1.jpg|https://a1a7da2474014db52134ef71d32aff131de8a6de.googledrive.com/host/0BxD_AYUAIOTEU0NXNVhDU09qOEk/E5%20-%20Pic2.jpg|https://a1a7da2474014db52134ef71d32aff131de8a6de.googledrive.com/host/0BxD_AYUAIOTEU0NXNVhDU09qOEk/E5%20-%20Pic3.jpg													
engineering|	LT3 & LT4|	LT3 & LT4|	N|	on|	on|	N|	on|	on|	N|	18|	9|	2|	0|	Walk along the pathway between YIH and CLB.|https://b16382ef172acb73e5361267c9247c3522441538.googledrive.com/host/0BxD_AYUAIOTEUFFxdkJwdEc0MW8/LT3%20_%20LT4%20-%20Pic1.jpg|https://b16382ef172acb73e5361267c9247c3522441538.googledrive.com/host/0BxD_AYUAIOTEUFFxdkJwdEc0MW8/LT3%20_%20LT4%20-%20Pic2.jpg|https://b16382ef172acb73e5361267c9247c3522441538.googledrive.com/host/0BxD_AYUAIOTEUFFxdkJwdEc0MW8/LT3%20_%20LT4%20-%20Pic3.jpg													
science|	Canteen Block Level 3|	Outside LT26|	on|	N|	on|	N|	on|	N|	N|	4|	2|	0|	0|	Take a left turn from the LT28 bus stop and walk towards LT 26.|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg													
science|	LT25|	Outside LT25|	on|	on|	on|	N|	on|	on|	N|	16|	8|	18|	0|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway.|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg													
science|	S16 Level 1|	Extended Cafeteria|	on|	N|	on|	N|	on|	on|	N|	128|	35|	9|	0|	Take a right turn from the LT28 bus stop and walk along the pathway in the adjacent carpark towards S16.|https://950904c35f3a535766986a007194b8aec8b75002.googledrive.com/host/0BxD_AYUAIOTEWkljcjB0V0FvRDg/Cafeteria1.jpg|https://950904c35f3a535766986a007194b8aec8b75002.googledrive.com/host/0BxD_AYUAIOTEWkljcjB0V0FvRDg/Cafeteria2.jpg|https://950904c35f3a535766986a007194b8aec8b75002.googledrive.com/host/0BxD_AYUAIOTEWkljcjB0V0FvRDg/Cafeteria3.jpg														
